Nome,Artista,Genero,Tonalidade
#SELFIE - Original Mix;The Chainsmokers;pop, Dance/Electronic;C
#thatPOWER;will.i.am;hip hop, pop;F#
Fast Car;Jonas Blue;pop, Dance/Electronic;A
Fast Car;Jonas Blue;pop, Dance/Electronic;A
Feel Good Inc.;Gorillaz;hip hop;F#
Feel So Close - Radio Edit;Calvin Harris;hip hop, pop, Dance/Electronic;G
Feel This Moment (feat. Christina Aguilera);Pitbull;hip hop, pop, latin;G
Feel the Love (feat. John Newman);Rudimental;pop, Dance/Electronic;C#
Feels (feat. Pharrell Williams, Katy Perry & Big Sean);Calvin Harris;hip hop, pop, Dance/Electronic;B
Fergalicious;Fergie;pop, R&B;Ab
Fetish (feat. Gucci Mane);Selena Gomez;pop;D
Fight For This Love;Cheryl;pop, Dance/Electronic;G
Fighter;Christina Aguilera;pop;E
Fill Me In;Craig David;hip hop, pop, R&B;Ab
Fill Me In;Craig David;hip hop, pop, R&B;Ab
Final Song;MØ;pop, Dance/Electronic;C#
Find Your Love;Drake;hip hop, pop, R&B;F#
Fine China;Chris Brown;hip hop, pop, R&B;Bb
Finesse - Remix; feat. Cardi B;Bruno Mars;pop;F
Fire;Kasabian;rock;Bb
Fire Burning;Sean Kingston;hip hop, pop, R&B;C#
Fireflies;Owl City;rock, pop;Eb
Firestone;Kygo;pop, Dance/Electronic;B
Firework;Katy Perry;pop;Ab
Fit but You Know It;The Streets;hip hop, Dance/Electronic;F#
Five More Hours;Deorro;pop, Dance/Electronic;F
Flames;David Guetta;hip hop, pop, Dance/Electronic;F
Flashing Lights;Kanye West;hip hop;F#
Flex (Ooh, Ooh, Ooh);Rich Homie Quan;hip hop, pop;F#
Foolish;Ashanti;hip hop, pop, R&B;C
For You (Fifty Shades Freed) (& Rita Ora);Liam Payne;pop;D
Forever;Chris Brown;hip hop, pop, R&B;B
Forever;Drake;hip hop, pop, R&B;F
Forgot About Dre;Dr. Dre;hip hop;Ab
Freak Like Me;Sugababes;pop, R&B;F
Freaky Friday (feat. Chris Brown);Lil Dicky;hip hop, pop;Ab
Freek-A-Leek;Petey Pablo;hip hop, pop;D
Freestyler;Bomfunk MC's;pop;B
Friends (with BloodPop®);Justin Bieber;pop;Ab
From Paris to Berlin;Infernal;pop;A
Frontin' (feat. Jay-Z) - Club Mix;Pharrell Williams;hip hop, pop;A
Fuck It (I Don't Want You Back);Eamon;set();C
Full Moon;Brandy;hip hop, pop, R&B;Bb
GDFR (feat. Sage the Gemini & Lookas);Flo Rida;hip hop, pop;F
GUMMO;6ix9ine;hip hop;D
Galvanize;The Chemical Brothers;Dance/Electronic;G
Gangnam Style (강남스타일);PSY;pop;B
Gangsta Lovin';Eve;hip hop, pop, R&B;C#
Gasolina;Daddy Yankee;latin;C
Gecko (Overdrive) - Radio Edit;Oliver Heldens;pop, Dance/Electronic;C
German;EO;set();Ab
Geronimo;Sheppard;pop, rock, Dance/Electronic;G
Get Back;Ludacris;hip hop, pop;C#
Get Busy;Sean Paul;hip hop, pop;Bb
Get It On Tonite;Montell Jordan;hip hop, pop, R&B;Bb
Get It Poppin' (feat. Nelly) - Radio Version;Fat Joe;hip hop, pop;C#
Get It Shawty;Lloyd;hip hop, pop, R&B;F
Get Low;Lil Jon & The East Side Boyz;hip hop, pop;C#
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit;Daft Punk;hip hop, Dance/Electronic;F#
Get Right;Jennifer Lopez;hip hop, pop, R&B;C
Get Up (Rattle) - Vocal Edit;Bingo Players;pop, Dance/Electronic;G
Get Up (feat. Chamillionaire);Ciara;pop, R&B;C#
Get Ur Freak On;Missy Elliott;hip hop, pop, R&B;C
Get the Party Started;P!nk;pop;B
Gettin' Over You (feat. Fergie & LMFAO);David Guetta;hip hop, pop, Dance/Electronic;Bb
Ghetto Gospel;2Pac;hip hop;F
Ghost;Ella Henderson;pop, Dance/Electronic;A
Ghost Town;Adam Lambert;pop;E
Giant (with Rag'n'Bone Man);Calvin Harris;hip hop, pop, Dance/Electronic;C#
Gimme More;Britney Spears;pop;D
Gimme That;Chris Brown;hip hop, pop, R&B;B
Gimme the Light;Sean Paul;hip hop, pop;D
Girl;Destiny's Child;pop, R&B;F#
Girlfriend;Avril Lavigne;pop;G
Girlfriend;*NSYNC;pop;C
Girls Like (feat. Zara Larsson);Tinie Tempah;hip hop, pop, Dance/Electronic;C
Girls Like You (feat. Cardi B) - Cardi B Version;Maroon 5;pop;C
Give It 2 Me;Madonna;pop;Ab
Give It To Me;Timbaland;hip hop, pop, R&B;Ab
Give Me Everything (feat. Ne-Yo, Afrojack & Nayer);Pitbull;hip hop, pop, latin;Ab
Give Your Heart a Break;Demi Lovato;pop;F#
Glad You Came;The Wanted;pop, Dance/Electronic;G
Glamorous;Fergie;pop, R&B;C
Glorious (feat. Skylar Grey);Macklemore;hip hop, pop;C
Go Let It Out;Oasis;Folk/Acoustic, rock;D
God is a woman;Ariana Grande;pop;C#
God's Plan;Drake;hip hop, pop, R&B;G
Going Bad (feat. Drake);Meek Mill;hip hop, pop;E
Gold;Kiiara;rock, pop, Dance/Electronic;Ab
Gold Digger;Kanye West;hip hop;C#
Gold Dust - Radio Edit;DJ Fresh;pop, Dance/Electronic;C
Golden Skans;Klaxons;rock;D
Gone;*NSYNC;pop;B
Good Feeling;Flo Rida;hip hop, pop;C#
Good For You;Selena Gomez;pop;F
Good Girls Go Bad (feat. Leighton Meester);Cobra Starship;pop, Dance/Electronic;C
Good Grief;Bastille;pop, rock;C#
Good Life;Kanye West;hip hop;C#
Good Life;OneRepublic;pop;F#
Good Life (with G-Eazy & Kehlani);G-Eazy;hip hop, pop;C#
Good Luck;Basement Jaxx;pop, Dance/Electronic;F
Good Time;Owl City;rock, pop;Eb
Goodbye My Lover;James Blunt;pop;E
Goodbyes (Feat. Young Thug);Post Malone;hip hop;F
Goodies (feat. Petey Pablo);Ciara;pop, R&B;F
Gossip Folks (feat. Ludacris);Missy Elliott;hip hop, pop, R&B;C
Got Money;Lil Wayne;hip hop, pop;G
Gotta Be Somebody;Nickelback;rock, metal;C
Gotta Get Thru This - D'N'D Radio Edit;Daniel Bedingfield;pop;G
Gotta Get Thru This - D'N'D Radio Edit;Daniel Bedingfield;pop;G
Gotta Tell You;Samantha Mumba;pop;C
Grace Kelly;MIKA;pop;C
Green Light (feat. André 3000);John Legend;pop, R&B;A
Grenade;Bruno Mars;pop;D
Grillz;Nelly;hip hop, pop, R&B;E
Grind With Me;Pretty Ricky;hip hop, pop, R&B;C#
Gucci Gang;Lil Pump;hip hop;F
HUMBLE.;Kendrick Lamar;hip hop;C#
Habits (Stay High);Tove Lo;pop, Dance/Electronic;F
Halfcrazy;Musiq Soulchild;pop, R&B;B
Hall of Fame (feat. will.i.am);The Script;pop, rock;Bb
Hallelujah;Alexandra Burke;pop;D
Halo;Beyoncé;pop, R&B;B
HandClap;Fitz and The Tantrums;pop, rock;Ab
Hands Clean;Alanis Morissette;pop, Folk/Acoustic;G
Hands on the Wheel (feat. Asap Rocky);ScHoolboy Q;hip hop, pop;C#
Hanging By A Moment;Lifehouse;pop, rock, metal;C#
Happier;Marshmello;pop, Dance/Electronic;F
Happy;Ashanti;hip hop, pop, R&B;D
Happy - From "Despicable Me 2";Pharrell Williams;hip hop, pop;F
Hard;Rihanna;hip hop, pop, R&B;C#
Harlem Shake;Baauer;Dance/Electronic;C
Hate It Or Love It;The Game;hip hop, pop;A
Havana (feat. Young Thug);Camila Cabello;pop;G
Have You Ever;S Club 7;pop;C
He Can't Love U;Jagged Edge;hip hop, pop, R&B;Ab
He Wasn't Man Enough;Toni Braxton;pop, R&B;B
Headlines;Drake;hip hop, pop, R&B;F#
Headsprung;LL Cool J;hip hop, pop, R&B;C
Headstrong;Trapt;rock, metal;E
Hear Me Now;Alok;pop, Dance/Electronic;B
Heard It All Before;Sunshine Anderson;pop, R&B;Eb
Heart Attack;Demi Lovato;pop;Ab
Heart Skips a Beat (feat. Rizzle Kicks);Olly Murs;pop, Dance/Electronic;A
Heartbreaker;will.i.am;hip hop, pop;A
Heartbroken - Edit;T2;Dance/Electronic;B
Heartless;Kanye West;hip hop;Bb
Heathens;Twenty One Pilots;rock;E
Heaven;DJ Sammy;pop;Ab
Heaven Is a Halfpipe (If I Die);OPM;rock;Ab
Hella Good;No Doubt;rock, pop;Ab
Hello;Adele;pop, R&B;F
Hemorrhage (In My Hands);Fuel;rock, pop, metal;C#
Here;Alessia Cara;pop, R&B;C
Here;Alessia Cara;pop, R&B;C
Here Is Gone;The Goo Goo Dolls;pop, rock;C#
Here Without You;3 Doors Down;pop, rock, metal;Bb
Here's to Never Growing Up;Avril Lavigne;pop;C
Hero (feat. Josey Scott);Chad Kroeger;metal;E
Heroes (we could be);Alesso;pop, Dance/Electronic;F
Hey Baby;No Doubt;rock, pop;B
Hey Baby (Drop It to the Floor) (feat. T-Pain);Pitbull;hip hop, pop, latin;Bb
Hey Baby (Radio Mix);DJ Ötzi;pop, easy listening, Dance/Electronic;Bb
Hey Brother;Avicii;pop, Dance/Electronic;G
Hey Daddy (Daddy's Home);Usher;hip hop, pop, R&B;B
Hey Mama;Black Eyed Peas;hip hop, pop;E
Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack);David Guetta;hip hop, pop, Dance/Electronic;A
Hey Porsche;Nelly;hip hop, pop, R&B;A
Hey There Delilah;Plain White T's;pop;D
Hey Ya!;Outkast;hip hop, pop;E
Hideaway;Kiesza;pop, Dance/Electronic;G
High (feat. Nicole Millar);Peking Duk;Dance/Electronic;C
High By The Beach;Lana Del Rey;pop;B
High Hopes;Panic! At The Disco;rock;F
Higher;The Saturdays;pop, Dance/Electronic;Bb
Higher;Taio Cruz;hip hop, pop;Ab
Higher;Creed;pop, rock, metal;D
Him & I;G-Eazy;hip hop, pop;D
Him & I (with Halsey);G-Eazy;hip hop, pop;D
Hips Don't Lie (feat. Wyclef Jean);Shakira;pop, latin;Bb
Hit 'Em Up Style (Oops!);Blu Cantrell;pop, R&B;F
Hold On;Chord Overstreet;pop, Folk/Acoustic;D
Hold On, We're Going Home;Drake;hip hop, pop, R&B;F#
Hole In The Head;Sugababes;pop, R&B;F#
Holidae In;Chingy;hip hop, pop, R&B;G
Holiday;Dizzee Rascal;hip hop, pop, Dance/Electronic;C
Hollaback Girl;Gwen Stefani;pop, R&B;Bb
Holy Grail;JAY-Z;hip hop;D
Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha);Machine Gun Kelly;hip hop, pop;Eb
Homecoming;Kanye West;hip hop;C#
Homemade Dynamite - REMIX;Lorde;pop, Dance/Electronic;C
Honey Bee;Blake Shelton;country;E
Hot - Play & Win Radio Version;INNA;pop;G
Hot Boyz;Missy Elliott;hip hop, pop, R&B;C#
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign);Megan Thee Stallion;hip hop, pop, R&B;C
Hot In Herre;Nelly;hip hop, pop, R&B;B
Hot N Cold;Katy Perry;pop;G
Hot N*gga;Bobby Shmurda;hip hop, pop;A
Hot Right Now (feat. RITA ORA) - Radio Edit;DJ Fresh;pop, Dance/Electronic;E
Hotel Room Service;Pitbull;hip hop, pop, latin;F#
Hotline Bling;Drake;hip hop, pop, R&B;D
Hotline Bling;Drake;hip hop, pop, R&B;D
Hotter Than Hell;Dua Lipa;pop;Eb
How Come;D12;hip hop, pop, rock;A
How Deep Is Your Love;Calvin Harris;hip hop, pop, Dance/Electronic;B
How Do You Sleep?;Sam Smith;pop;C#
How Long;Charlie Puth;pop;C#
How Low;Ludacris;hip hop, pop;C#
How To Love;Lil Wayne;hip hop, pop;B
How We Do;The Game;hip hop, pop;E
How We Do (Party);Rita Ora;hip hop, pop, Dance/Electronic;G
How You Gonna Act Like That;Tyrese;hip hop, pop, R&B;Eb
How You Remind Me;Nickelback;rock, metal;Bb
How to Be a Heartbreaker;MARINA;pop, Dance/Electronic;B
How to Save a Life;The Fray;pop;Bb
Human;Rag'n'Bone Man;R&B;A
Hung Up;Madonna;pop;A
Hurts So Good;Astrid S;rock, pop, Dance/Electronic;G
Hymn for the Weekend;Coldplay;rock, pop;C
Hypnotized (feat. Akon);Plies;hip hop, pop, R&B;Bb
I Believe in You;Kylie Minogue;pop, Dance/Electronic;G
I Bet You Look Good On The Dancefloor;Arctic Monkeys;rock;F#
I Can;Nas;hip hop;F#
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit;Avicii;pop, Dance/Electronic;F#
I Cry;Flo Rida;hip hop, pop;E
I Don't Feel Like Dancin';Scissor Sisters;pop, rock, Dance/Electronic;G
I Don't Fuck With You;Big Sean;hip hop, pop;C#
I Don't Like It, I Love It (feat. Robin Thicke & Verdine White);Flo Rida;hip hop, pop;A
I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster;Mario Winans;pop;B
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Darker (Original Motion Picture Soundtrack)";ZAYN;pop, Dance/Electronic;C
I Feel It Coming;The Weeknd;pop, R&B;C
I Follow Rivers - The Magician Remix;Lykke Li;pop, Dance/Electronic;A
I Got U;Duke Dumont;pop, Dance/Electronic;A
I Gotta Feeling;Black Eyed Peas;hip hop, pop;C
I Hate Everything About You;Three Days Grace;rock, metal;F#
I Hate This Part;The Pussycat Dolls;pop, R&B;F
I Hate This Part;The Pussycat Dolls;pop, R&B;F
I Just Wanna Love U (Give It 2 Me);JAY-Z;hip hop;E
I Kissed A Girl;Katy Perry;pop;F
I Knew You Were Trouble.;Taylor Swift;pop;Eb
I Knew You Were Trouble.;Taylor Swift;pop;Eb
I Know What You Did Last Summer;Shawn Mendes;pop;A
I Know What You Want (feat. Flipmode Squad);Busta Rhymes;hip hop, pop;F#
I Know What You Want (feat. Flipmode Squad);Busta Rhymes;hip hop, pop;F#
I Know You Want Me (Calle Ocho);Pitbull;hip hop, pop, latin;D
I Like It;Enrique Iglesias;pop, latin;Bb
I Like It;Sammie;hip hop, pop, R&B;A
I Like It;Cardi B;hip hop, pop;F
I Like Me Better;Lauv;pop, Dance/Electronic;A
I Like That;Houston;hip hop, pop;Bb
I Like The Way - Radio Edit;Bodyrockers;rock, Dance/Electronic;F#
I Love College;Asher Roth;hip hop, pop;Ab
I Love It;Icona Pop;pop, Dance/Electronic;C#
I Love It (feat. Charli XCX);Icona Pop;pop, Dance/Electronic;Ab
I Love You;Faith Evans;hip hop, pop, R&B;B
I Luv Your Girl;The-Dream;hip hop, pop, R&B;Ab
I Need A Doctor;Dr. Dre;hip hop;Eb
I Need A Dollar;Aloe Blacc;R&B;F#
I Need You;LeAnn Rimes;pop, country;G
I Need Your Love (feat. Ellie Goulding);Calvin Harris;hip hop, pop, Dance/Electronic;Ab
I Need a Girl (Pt. 1) [feat. Usher & Loon];Diddy;hip hop, pop;F#
I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans];Diddy;hip hop, pop;C#
I Predict A Riot;Kaiser Chiefs;rock;Ab
I See Fire - From "The Hobbit - The Desolation Of Smaug";Ed Sheeran;pop;Bb
I Took A Pill In Ibiza - Seeb Remix;Mike Posner;hip hop, pop, Dance/Electronic;G
I Tried;Bone Thugs-N-Harmony;hip hop, pop;E
I Turn To You;Melanie C;pop, Dance/Electronic;C#
I Turn to You;Christina Aguilera;pop;C#
I Wanna Go;Britney Spears;pop;F
I Wanna Know;Joe;pop, R&B;Ab
I Wanna Love You;Akon;pop;C
I Want You To Know;Zedd;hip hop, pop, Dance/Electronic;A
I Will Never Let You Down;Rita Ora;hip hop, pop, Dance/Electronic;E
I Wish;Carl Thomas;pop, R&B;C#
I Wish I Was a Punk Rocker (with Flowers in My Hair);Sandi Thom;World/Traditional, pop;E
I Won't Let You Go;James Morrison;pop, R&B;C
I Would Like;Zara Larsson;pop, Dance/Electronic;D
I Write Sins Not Tragedies;Panic! At The Disco;rock;A
I'm Gonna Be Alright (feat. Nas);Jennifer Lopez;hip hop, pop, R&B;Bb
I'm In Control;AlunaGeorge;pop, Dance/Electronic;B
I'm Like A Bird;Nelly Furtado;hip hop, pop, latin;Bb
I'm N Luv (Wit a Stripper) (feat. Mike Jones);T-Pain;hip hop, pop, R&B;Ab
I'm Not Alone - Radio Edit;Calvin Harris;hip hop, pop, Dance/Electronic;G
I'm Not a Girl, Not Yet a Woman;Britney Spears;pop;Eb
I'm On One;DJ Khaled;hip hop, pop;B
I'm Outta Love - Radio Edit;Anastacia;pop;Bb
I'm Real (feat. Ja Rule) - Murder Remix;Jennifer Lopez;hip hop, pop, R&B;B
I'm Sprung;T-Pain;hip hop, pop, R&B;C
I'm Still in Love with You (feat. Sasha);Sean Paul;hip hop, pop;G
I'm Upset;Drake;hip hop, pop, R&B;B
I'm a Slave 4 U;Britney Spears;pop;F
I'm a Thug;Trick Daddy;hip hop, pop;B
I'm with You;Avril Lavigne;pop;A
IDGAF;Dua Lipa;pop;G
Ice Box;Omarion;hip hop, pop, R&B;Ab
If I Could Go! (feat. Lil' Mo & Sacario);Angie Martinez;pop;A
If I Die Young;The Band Perry;country;E
If I Die Young;The Band Perry;country;E
If I Were a Boy;Beyoncé;pop, R&B;F#
If There's Any Justice;Lemar;R&B;F#
If Today Was Your Last Day;Nickelback;rock, metal;Eb
If Tomorrow Never Comes;Ronan Keating;pop, rock;Bb
If U Seek Amy;Britney Spears;pop;E
If We Ever Meet Again (Featuring Katy Perry);Timbaland;hip hop, pop, R&B;Ab
If You Come Back;Blue;pop;Bb
If You're Not The One;Daniel Bedingfield;pop;Bb
If You're Not The One;Daniel Bedingfield;pop;Bb
Imma Be;Black Eyed Peas;hip hop, pop;C
Impossible;Shontelle;pop, R&B;Ab
Impossible;James Arthur;pop;C
In Da Club;50 Cent;hip hop, pop;F#
In For The Kill;La Roux;pop, Dance/Electronic;Ab
In Love With a Girl;Gavin DeGraw;pop, Folk/Acoustic;Eb
In My Feelings;Drake;hip hop, pop, R&B;C#
In My Head;Jason Derulo;hip hop, pop;C
In My Mind;Dynoro;pop, Dance/Electronic;F#
In My Place;Coldplay;rock, pop;A
In The Dark;DEV;pop, Dance/Electronic;Ab
In The Morning;Razorlight;rock, pop;E
In The Night;The Weeknd;pop, R&B;G
In Those Jeans;Ginuwine;hip hop, pop, R&B;C#
In Your Eyes;Kylie Minogue;pop, Dance/Electronic;F#
In the End;Linkin Park;rock, metal;Eb
In the End;Linkin Park;rock, metal;Eb
In the Name of Love;Martin Garrix;pop, Dance/Electronic;E
In the Shadows;The Rasmus;metal;D
Incomplete;Sisqo;hip hop, pop, R&B;C#
Incomplete;Backstreet Boys;pop;E
Independent Women, Pt. 1;Destiny's Child;pop, R&B;F#
Independent Women, Pt. 1;Destiny's Child;pop, R&B;F#
Infinity 2008;Guru Josh Project;hip hop;G
International Love (feat. Chris Brown);Pitbull;hip hop, pop, latin;C
Into You;Ariana Grande;pop;A
Into You (feat. Tamia);Fabolous;hip hop, pop, R&B;G
Into the Night (feat. Chad Kroeger);Santana;rock, blues, latin;G
Intoxicated - New Radio Mix;Martin Solveig;pop, Dance/Electronic;C
Intro;The xx;rock;A
Irreplaceable;Beyoncé;pop, R&B;G
Irresistible;Jessica Simpson;pop, R&B;Ab
Is It Any Wonder?;Keane;pop;B
It Ain't Me (with Selena Gomez);Kygo;pop, Dance/Electronic;C
It Feels So Good;Sonique;pop;F
It Girl;Jason Derulo;hip hop, pop;C#
It Wasn't Me;Shaggy;hip hop, pop;C
It Will Rain;Bruno Mars;pop;D
It's A Vibe;2 Chainz;hip hop, pop;G
It's Been Awhile;Staind;rock, metal;F#
It's Goin' Down (feat. Nitti);Yung Joc;hip hop, pop;C#
It's Gonna Be Me;*NSYNC;pop;C
It's Like That;Mariah Carey;pop, R&B;Ab
It's My Life;No Doubt;rock, pop;Ab
It's My Life;Bon Jovi;rock, metal;C
It's My Life;No Doubt;rock, pop;Ab
It's Not My Time;3 Doors Down;pop, rock, metal;C
It's Not Over;Daughtry;pop, rock, metal;Bb
It's Over Now;112;hip hop, pop, R&B;C#
It's Raining Men;Geri Halliwell;pop;F
It's the Way You Make Me Feel;Steps;pop, Dance/Electronic;Ab
Izzo (H.O.V.A.);JAY-Z;hip hop;C#
Jackie Chan;Tiësto;pop, Dance/Electronic;Eb
Jai Ho! (You Are My Destiny);A.R. Rahman;set();Ab
Jar of Hearts;Christina Perri;pop;Eb
Jealous - Remix;Nick Jonas;pop;B
Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix;Jennifer Lopez;hip hop, pop, R&B;F#
Jesus Walks;Kanye West;hip hop;Eb
Jocelyn Flores;XXXTENTACION;hip hop;C
Jubel - Radio Edit;Klingande;pop, Dance/Electronic;C
Juicy;Doja Cat;pop;C
Juju on That Beat (TZ Anthem);Zay Hilfigerrr;set();C#
Jumanji;B Young;hip hop, Dance/Electronic;Bb
Jump;Girls Aloud;pop, Dance/Electronic;Ab
Jumpin', Jumpin';Destiny's Child;pop, R&B;C#
Jumpman;Drake;hip hop, pop, R&B;C#
Jumpman;Drake;hip hop, pop, R&B;C#
Just A Dream;Nelly;hip hop, pop, R&B;C#
Just A Kiss;Lady A;pop, country;C#
Just A Lil Bit;50 Cent;hip hop, pop;C#
Just A Little;Liberty X;pop;F
Just Can’t Get Enough;Black Eyed Peas;hip hop, pop;C
Just Dance;Lady Gaga;pop;C#
Just Fine;Mary J. Blige;pop, R&B;B
Just Hold On;Steve Aoki;hip hop, pop, Dance/Electronic;B
Just Like Fire (From the Original Motion Picture "Alice Through The Looking Glass");P!nk;pop;G
Just Lose It;Eminem;hip hop;Ab
Just the Way You Are;Bruno Mars;pop;F
Karma;Alicia Keys;pop, R&B;Bb
Keisha & Becky - Remix;Russ Millions;pop;F#
Kickstarts;Example;pop, Dance/Electronic;F
Kids;MGMT;rock;A
Kill Em With Kindness;Selena Gomez;pop;Bb
Kill This Love;BLACKPINK;pop;D
King;Years & Years;pop, Dance/Electronic;E
King's Dead (with Kendrick Lamar, Future & James Blake);Jay Rock;hip hop, pop;C#
Kiss Kiss;Holly Valance;pop, Dance/Electronic;E
Kiss Kiss (feat. T-Pain);Chris Brown;hip hop, pop, R&B;Bb
Kiss Kiss (feat. T-Pain);Chris Brown;hip hop, pop, R&B;Bb
Kiss Me Thru The Phone;Soulja Boy;hip hop, pop;G
Knock You Down;Keri Hilson;pop, R&B;Ab
Kryptonite;3 Doors Down;pop, rock, metal;B
L'Amour Toujours;Gigi D'Agostino;pop;G
LOVE. FEAT. ZACARI.;Kendrick Lamar;hip hop;Bb
LUV;Tory Lanez;hip hop, pop, R&B;B
La Camisa Negra;Juanes;pop, latin;F#
La La La;Naughty Boy;Dance/Electronic;F#
La Tortura (feat. Alejandro Sanz);Shakira;pop, latin;C
Ladbroke Grove;AJ Tracey;hip hop, Dance/Electronic;B
Lady - Hear Me Tonight;Modjo;Dance/Electronic;F#
Lady Marmalade - From "Moulin Rouge" Soundtrack;Christina Aguilera;pop;F
Laffy Taffy;D4L;hip hop, pop;G
Laffy Taffy;D4L;hip hop, pop;G
Last Friday Night (T.G.I.F.);Katy Perry;pop;Eb
Last Night;Keyshia Cole;hip hop, pop, R&B;Eb
Latch;Disclosure;pop, Dance/Electronic;C#
Latch;Disclosure;pop, Dance/Electronic;C#
Lean Back;Terror Squad;hip hop;C#
Lean On (feat. MØ & DJ Snake);Major Lazer;hip hop, pop, Dance/Electronic;G
Lean Wit It, Rock Wit It;Dem Franchize Boyz;hip hop, pop;F
Leave (Get Out) - Radio Edit;JoJo;hip hop, pop, R&B;F
Leave Me Alone;Flipp Dinero;hip hop, pop;G
Leave Right Now;Will Young;pop;F#
Leave Right Now;Will Young;pop;F#
Leave a Light On;Tom Walker;rock, pop;F
Left Outside Alone;Anastacia;pop;D
Let Her Go;Passenger;pop;G
Let It All Go;Birdy;pop;Bb
Let It Go;Keyshia Cole;hip hop, pop, R&B;C#
Let It Rock;Kevin Rudolf;hip hop, pop;G
Let Me Blow Ya Mind;Eve;hip hop, pop, R&B;Ab
Let Me Down Slowly;Alec Benjamin;rock, pop, Dance/Electronic;C#
Let Me Go;3 Doors Down;pop, rock, metal;C#
Let Me Hold You (feat. Omarion);Bow Wow;hip hop, pop, R&B;F#
Let Me Love You;DJ Snake;hip hop, pop, Dance/Electronic;Ab
Let Me Love You;Mario;pop, R&B;G
Let Me Love You (Until You Learn To Love Yourself);Ne-Yo;pop, R&B;F
Let Me Think About It;Ida Corr;set();C
Let You Down;NF;hip hop, pop;F
Let's Dance - Radio Edit;Five;pop;E
Let's Fall in Love for the Night;FINNEAS;rock, pop, Dance/Electronic;F
Let's Get It Started - Spike Mix;Black Eyed Peas;hip hop, pop;B
Let's Go (feat. Ne-Yo);Calvin Harris;hip hop, pop, Dance/Electronic;E
Levels - Radio Edit;Avicii;pop, Dance/Electronic;C#
Liar;Camila Cabello;pop;B
Life Is A Rollercoaster;Ronan Keating;pop, rock;C
Life is a Highway;Rascal Flatts;country;F
Lifestyles of the Rich & Famous;Good Charlotte;rock, metal;C#
Light It Up (feat. Nyla & Fuse ODG) - Remix;Major Lazer;hip hop, pop, Dance/Electronic;A
Lighters;Bad Meets Evil;hip hop, pop;C
Lights - Single Version;Ellie Goulding;pop, rock, Dance/Electronic;Ab
Like A G6;Far East Movement;hip hop, pop;Eb
Like Glue;Sean Paul;hip hop, pop;C#
Like I Can;Sam Smith;pop;G
Like I Love You;Justin Timberlake;pop;F#
Like Toy Soldiers;Eminem;hip hop;Ab
Like Toy Soldiers;Eminem;hip hop;Ab
Like You (feat. Ciara);Bow Wow;hip hop, pop, R&B;F#
Like a Boy;Ciara;pop, R&B;C
Like a Stone;Audioslave;rock, metal;G
Lips Are Movin;Meghan Trainor;pop;G
Lips Of An Angel;Hinder;pop, rock, metal;D
Little Dark Age;MGMT;rock;F#
Little Do You Know;Alex & Sierra;pop;C
Little L;Jamiroquai;pop;Bb
Little Lion Man;Mumford & Sons;Folk/Acoustic, rock, pop;F
Little Talks;Of Monsters and Men;pop, rock, Folk/Acoustic;C#
Live Like We're Dying;Kris Allen;pop;C
Live While We're Young;One Direction;pop;D
Live Your Life;T.I.;hip hop, pop;B
Live Your Life;T.I.;hip hop, pop;B
Livin' It Up;Ja Rule;hip hop, pop, R&B;F#
Loca People - Radio Edit;Sak Noel;Dance/Electronic;B
Location (feat. Burna Boy);Dave;hip hop;A
Locked Away (feat. Adam Levine);R. City;pop;C#
Locked Up;Akon;pop;G
Locked out of Heaven;Bruno Mars;pop;F
Locked out of Heaven;Bruno Mars;pop;F
Lola's Theme - Radio Edit;The Shapeshifters;Dance/Electronic;F
Lollipop;Lil Wayne;hip hop, pop;C
London Bridge;Fergie;pop, R&B;C#
Lonely;Akon;pop;F
Lonely No More;Rob Thomas;pop, Folk/Acoustic;A
Lonely Together (feat. Rita Ora);Avicii;pop, Dance/Electronic;F
Look Alive (feat. Drake);BlocBoy JB;hip hop, pop;Bb
Look At Me Now (feat. Lil' Wayne & Busta Rhymes);Chris Brown;hip hop, pop, R&B;B
Look Back at It;A Boogie Wit da Hoodie;hip hop;Eb
Look Right Through - MK Vocal Edit;Storm Queen;Dance/Electronic;C
Look What You Made Me Do;Taylor Swift;pop;A
Lose Control (feat. Ciara & Fat Man Scoop);Missy Elliott;hip hop, pop, R&B;E
Lose My Breath;Destiny's Child;pop, R&B;C#
Lose Yourself - From "8 Mile" Soundtrack;Eminem;hip hop;D
Lose Yourself to Dance (feat. Pharrell Williams);Daft Punk;hip hop, Dance/Electronic;Bb
Lost;Frank Ocean;hip hop, pop, R&B;Ab
Lost Without You;Delta Goodrem;pop;G
Lost in the Fire (feat. The Weeknd);Gesaffelstein;Dance/Electronic;D
Louder (feat. Sian Evans) - Radio Edit;DJ Fresh;pop, Dance/Electronic;F#
